patch_ID,N_RMSF_central,N_RMSF_patch_min,N_RMSF_patch_max,N_RMSF_patch_avg_freq,RSASA_min_central,RSASA_max_central,RSASA_avg_central,charge_pos_central,charge_neg_central,hydro_central,charge_patch_pos,charge_patch_neg,RSASA_patch_min_avg_freq,RSASA_patch_max_avg_freq,RSASA_patch_avg_avg_freq,hydro_patch_min,hydro_patch_max,hydro_patch_avg
29,1.6096644610620308,-0.9713957573041212,1.9953811365031533,0.3464630119849774,41.48093240302905,71.73007898163377,56.859162983141445,1.0,0.0,-4.5,6.0,-4.0,19.692089031067304,44.51666038565404,31.55430075523231,-4.5,1.8,-2.565217391304348
30,0.0066200735874007,-0.9713957573041212,1.9953811365031533,0.1115966900655704,15.87982551724303,45.4654992795458,32.83506655225567,0.0,0.0,-3.5,8.0,-5.0,17.08719817364252,39.44694724949493,27.707975175807725,-4.5,4.2,-2.4612903225806457
32,-0.5414158670229119,-0.9713957573041212,1.6096644610620308,0.0834786363719894,23.906519793081973,49.35797539310179,40.56797856869905,0.0,0.0,1.8,7.0,-4.0,17.300495311240773,42.12065271253672,29.102113995691543,-4.5,4.2,-2.4923076923076923
33,0.2148696032045862,-0.9713957573041212,1.6096644610620308,0.0252450202757534,9.70254460454503,42.757214302624455,24.047573304279545,0.0,0.0,-3.2,8.0,-6.0,14.071145316613574,34.93581376536568,23.812132095492284,-4.5,4.2,-2.324242424242424
38,-0.5975648840855267,-0.7854192185838936,1.9959704238180025,0.1104773958498416,9.148810891544118,44.59114822686887,29.38842960432464,0.0,0.0,-3.5,7.0,-5.0,12.89636946779545,31.6478092813049,21.596452084122205,-4.5,4.5,-1.773170731707317
39,-0.3647755764198064,-0.7854192185838936,2.1621683955725928,0.3615039603968307,15.00931790000514,49.41405580754866,27.98806407995391,0.0,0.0,-0.4,4.0,-4.0,17.955303061519185,43.84988750308408,29.834746707736205,-4.5,4.5,-1.6233333333333329
40,0.0076037103181082,-0.7854192185838936,1.9959704238180025,0.2753702508263196,26.65589301140754,56.33739010318294,38.2962908063616,0.0,0.0,-0.7,4.0,-5.0,17.299696709084692,40.710361672408666,27.958222198078317,-4.5,4.5,-1.471875
54,-0.6066074063026055,-0.9665883236531516,2.9835467063082994,0.2777471399848121,17.252675090653014,36.51587497665587,26.750749990759616,0.0,0.0,2.8,7.0,-6.0,22.5293991238067,48.6726476758537,34.56655652386599,-4.5,4.2,-2.212
76,0.4957576777508395,-0.8558827803259556,1.9959704238180025,0.2122071270354,42.29658375615659,71.84103260869566,59.99294778575069,0.0,0.0,1.8,5.0,-3.0,18.366969016896338,35.269329385409755,26.42192828176073,-4.5,4.5,-1.8434782608695652
78,0.5081662937594569,-0.8558827803259556,1.9959704238180025,0.2138843864406596,36.43780002346286,58.26509814241748,45.65449669247582,0.0,0.0,-3.2,5.0,-4.0,22.080342712544915,41.85375289645755,31.450473095607013,-4.5,4.5,-1.809523809523809
81,-0.17471689999839,-0.9665883236531516,1.4206315139880992,-0.0728062231712713,14.29726851613898,44.78619224146792,26.794192665501647,1.0,0.0,-4.5,7.0,-5.0,20.69092045339261,43.97547112251916,31.9013462656442,-4.5,4.2,-1.960606060606061
104,1.5507921930256128,-0.2783385286661503,5.883557041645953,1.409459595849784,48.77114353409733,82.39602697900979,64.97366801801934,0.0,0.0,-1.6,1.0,-7.0,25.4058883123946,54.85471102840988,38.81518589730776,-4.5,4.5,-1.4476190476190478
105,2.5611970971626423,-0.2783385286661503,5.883557041645953,0.9887026879340648,40.7568491422213,87.15466719407303,55.015934430635895,0.0,0.0,4.5,2.0,-7.0,23.791681708305145,48.30102083090965,35.46234273731758,-4.5,4.5,-1.5590909090909089
148,4.659702986846836,-0.2783385286661503,6.344328472837136,1.4608369754317163,24.791776468825443,52.40996528592744,40.39478547583322,0.0,-1.0,-3.5,4.0,-2.0,19.29349016884834,46.01587888755486,31.580273877861927,-4.5,3.8,-1.9529411764705884
149,5.883557041645953,-0.2783385286661503,6.344328472837136,1.1135094525831497,19.883093449741743,86.62851342657729,41.760906562985966,0.0,0.0,3.8,5.0,-6.0,17.347106205451297,39.27475643698832,27.44590355495753,-4.5,4.5,-1.7230769230769232
221,1.0736800981767003,-0.7348343017016756,2.668271990760058,0.6550591086677328,31.1632792154948,61.548585055167216,44.238828692519874,1.0,0.0,-4.5,6.0,-4.0,27.695247921169734,52.00302564731729,39.5724680450318,-4.5,1.8,-2.4
232,2.668271990760058,-0.7348343017016756,2.668271990760058,0.4067286181817888,51.17176256681744,75.48234906112938,61.90767790141859,1.0,0.0,-4.5,5.0,-3.0,18.651497300975365,36.70828527528888,27.75179662962723,-4.5,4.2,-1.444
233,0.6780043630691213,-0.7348343017016756,2.668271990760058,0.3270705827575647,14.177523977388212,34.812933448853535,22.95702337249508,1.0,0.0,-3.9,7.0,-3.0,20.532825806905095,41.23922320549531,31.167058061545323,-4.5,4.2,-1.9666666666666668
235,-0.5089650705623924,-0.7348343017016756,2.668271990760058,0.2795500429322841,15.603245168492414,53.12315346538157,39.1393288322117,0.0,0.0,1.8,6.0,-2.0,19.52595462600832,40.952982622999926,30.30507402199897,-4.5,4.2,-1.6636363636363638
239,-0.3296753948075157,-0.7348343017016756,3.946578717317314,0.2554957824463965,47.8769177975862,78.77776104470958,61.93199572355851,0.0,0.0,4.2,6.0,-2.0,18.00819134583929,36.95204410688471,27.00686520645863,-4.5,4.2,-1.2607142857142857
241,-0.1907896111207835,-0.9039971623728204,3.946578717317314,0.3011629128792599,19.9288818862412,51.28680637904576,34.52727873246749,0.0,0.0,-0.7,4.0,-5.0,20.479049190892987,40.05311793349866,29.68280022252806,-4.5,4.2,-1.37
251,1.01454312147417,-0.7250616461691999,5.88073600803683,0.7279046067119687,37.83008504358138,78.29801192194779,54.3120911402732,0.0,0.0,-0.8,5.0,-7.0,18.580612323663647,42.61488559204504,30.656661054859736,-4.5,3.8,-2.25
255,-0.4720235334524389,-0.6268590180162894,2.930902653017573,0.4880201106148438,23.01057610378797,45.34797820437003,32.05861399373211,0.0,0.0,2.8,7.0,-6.0,23.46244980377866,48.68435780765066,35.77835014782178,-4.5,3.8,-2.076923076923077
276,0.6624752346583139,-0.5112910355097446,2.013666909774871,0.717379895375353,51.12363290095675,77.30448626089787,64.74394590958305,0.0,0.0,1.8,4.0,-2.0,22.114725133204075,42.42611117027891,31.9324117947926,-4.5,4.2,-1.5157894736842104
277,0.70470777555163,-0.5112910355097446,2.013666909774871,0.5750900926580447,35.41640682496887,63.08718695156816,50.11350106501925,0.0,0.0,1.8,4.0,-2.0,21.397488128065515,40.28117138190394,30.616662049793185,-4.5,4.2,-1.3045454545454545
278,1.6600039383269765,-0.6268590180162894,2.013666909774871,0.5993458645703701,41.81979621127571,66.24697070101124,55.00969989991291,0.0,0.0,-3.2,4.0,-4.0,18.935715322517545,35.840057042936486,27.417184282709535,-4.5,4.2,-1.4260869565217391
279,0.2890791237353571,-0.6510678266615669,2.668271990760058,0.480315299110691,18.67472192515498,53.78447408261506,30.43226781098739,0.0,0.0,4.2,6.0,-4.0,21.71984346512449,43.19529123406178,32.481620987358454,-4.5,4.2,-1.6666666666666667
287,-0.1152869721935106,-0.6268590180162894,2.930902653017573,0.274954434000393,25.52257370162796,45.69947378976004,34.932649004590374,0.0,0.0,-0.7,8.0,-6.0,17.0660717260393,35.17724380979831,25.57018540820015,-4.5,4.2,-1.870370370370371
301,0.615941600961415,-0.819490649825198,5.88073600803683,0.9629771067298656,23.52971063143965,66.1304363306018,41.42112455506256,0.0,0.0,1.8,4.0,-6.0,20.38310362147652,47.07491295000875,34.77339744870901,-4.5,3.8,-1.921875
307,1.831861455862701,0.5726869763197532,5.469464676425064,1.2923637831195571,44.743383103522696,78.45057611880097,64.137389694435,0.0,0.0,1.8,2.0,-7.0,19.671806415969783,44.35264685553671,30.7040166728884,-4.5,4.2,-1.668
